SampleName	Provided_Breeds	BreedQC
BEDT000008	NA	Pass QC
BEDT000003	NA	Pass QC
BEDT000004	NA	Pass QC
BEDT000005	NA	Pass QC
BEDT000001	NA	Pass QC
BEDT000006	NA	Pass QC
BEDT000007	NA	Pass QC
OLES000006	NA	Pass QC
OLES000001	NA	Pass QC
OLES000005	NA	Pass QC
OLES000002	NA	Pass QC
OLES000003	NA	Pass QC
OLES000007	NA	Pass QC
OLES000004	NA	Pass QC
SILK000004	NA	Pass QC
SILK000005	NA	Pass QC
SKYE000003	NA	Pass QC
MUDI000003	NA	Pass QC
MUDI000005	NA	Pass QC
MUDI000001	NA	Pass QC
MUDI000002	NA	Pass QC
MUDI000006	NA	Pass QC
LDSR000002	NA	Pass QC
NEWF000002	NA	Pass QC
NEWF000001	NA	Pass QC
NEWF000003	NA	Pass QC
LDSR000004	NA	Pass QC
LDSR000001	NA	Pass QC
LDSR000003	NA	Pass QC
NEWF000005	NA	Pass QC
NEWF000004	NA	Pass QC
NEWF000006	NA	Pass QC
STBY000003	NA	Pass QC
STBY000001	NA	Pass QC
STBY000004	NA	Pass QC
STBY000002	NA	Pass QC
CNCS000002	NA	Pass QC
FBUL000002	NA	Pass QC
FBUL000006	NA	Pass QC
FBUL000001	NA	Pass QC
BULD000001	NA	Pass QC
FBUL000003	NA	Pass QC
FBUL000004	NA	Pass QC
FBUL000005	NA	Pass QC
BOER000004	NA	Pass QC
OEBD000002	NA	Pass QC
CNTI000002	NA	Pass QC
CNTI000003	NA	Pass QC
CNTI000001	NA	Pass QC
CNTI000006	NA	Pass QC
BULD000003	NA	Pass QC
CNTI000005	NA	Pass QC
BULD000002	NA	Pass QC
CNTI000004	NA	Pass QC
AMBD000002	NA	Pass QC
BOER000003	NA	Pass QC
BOER000002	NA	Pass QC
BOER000001	NA	Pass QC
BULM000001	NA	Pass QC
BULM000006	NA	Pass QC
BULM000002	NA	Pass QC
BULM000003	NA	Pass QC
BULM000004	NA	Pass QC
BULM000005	NA	Pass QC
LABR000004	NA	Pass QC
LABR000001	NA	Pass QC
LABR000005	NA	Pass QC
LABR000003	NA	Pass QC
LABR000002	NA	Pass QC
AUPO000005	NA	Pass QC
LABR000006	NA	Pass QC
CCRT000003	NA	Pass QC
CCRT000002	NA	Pass QC
CCRT000004	NA	Pass QC
CCRT000001	NA	Pass QC
BLNK000006	NA	Pass QC
BLNK000004	NA	Pass QC
BLNK000003	NA	Pass QC
BLNK000005	NA	Pass QC
BLNK000002	NA	Pass QC
BLNK000001	NA	Pass QC
GALG000001	NA	Pass QC
GALG000006	NA	Pass QC
GALG000005	NA	Pass QC
GALG000002	NA	Pass QC
GALG000003	NA	Pass QC
GALG000004	NA	Pass QC
NSDT000001	NA	Pass QC
NSDT000002	NA	Pass QC
NSDT000004	NA	Pass QC
NSDT000003	NA	Pass QC
XOLO000001	NA	Pass QC
MPIN000002	NA	Pass QC
MPIN000003	NA	Pass QC
PRKR000004	NA	Pass QC
PRKR000001	NA	Pass QC
PRKR000005	NA	Pass QC
GPIN000004	NA	Pass QC
GPIN000002	NA	Pass QC
GPIN000003	NA	Pass QC
AUSK000002	NA	Pass QC
AUSK000001	NA	Pass QC
BICH000003	NA	Pass QC
NOWT000003	NA	Pass QC
NOWT000002	NA	Pass QC
NOWT000005	NA	Pass QC
NOWT000006	NA	Pass QC
NOWT000001	NA	Pass QC
NOWT000004	NA	Pass QC
BEAU000006	NA	Pass QC
BEAU000001	NA	Pass QC
BEAU000004	NA	Pass QC
BEAU000003	NA	Pass QC
BRIT000003	NA	Pass QC
BRIT000001	NA	Pass QC
BRIT000006	NA	Pass QC
BRIT000007	NA	Pass QC
BRIT000008	NA	Pass QC
BRIT000002	NA	Pass QC
BRIT000004	NA	Pass QC
BRIT000005	NA	Pass QC
ESMD000001	NA	Pass QC
