SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
CMT-642	Maltese	Pass QC	MT
CMT-178	Maltese	Pass QC	MT
CMT-756	Maltese	Pass QC	MT
073	Maltese	Pass QC	MT
CMT-724	Maltese	Pass QC	MT
CMT-730	Maltese	Pass QC	MT
CMT-505	Maltese	Pass QC	MT
CMT-480	Maltese	Pass QC	MT
CMT-234	NA	Pass QC	MT
CMT-48	Maltese	Pass QC	MT
CMT-190	Maltese	Pass QC	MT
CMT-392	Maltese	Pass QC	MT
CMT-102	Maltese	Pass QC	MT
095	Maltese	Pass QC	MT
CMT-9	Maltese	Pass QC	MT
CMT-30	Maltese	Pass QC	MT
CMT-239	Maltese	Pass QC	MT
013	Maltese	Pass QC	MT
CMT-201	Maltese	Pass QC	MT
009	Maltese	Pass QC	MT
CMT-188	Maltese	Pass QC	MT
CMT-667	Maltese	Pass QC	MT
CMT-332	Maltese	Pass QC	MT
CMT-685	Maltese	Pass QC	MT
CMT-227	Maltese	Pass QC	MT
CMT-112	Maltese	Pass QC	MT
CMT-311	Maltese	Pass QC	MT
CMT-262	Maltese	Pass QC	MT
4184	Maltese	Pass QC	BCL
B00E030-1	Labrador Retriever	Pass QC	OM
B00E02K-L	Labrador Retriever	Pass QC	OM
CCB050096	NA	Pass QC	UCL
CCB050096_URen	Labrador Retriever	Pass QC	OM
P6	Labrador Retriever	Pass QC	HSA
B00E02G-H	Labrador Retriever	Pass QC	OM
Labrador2	Labrador Retriever	Pass QC	UCL
B00E02U-V	Labrador Retriever	Pass QC	OM
B00E02W-X	Labrador Retriever	Pass QC	OM
B00E02Q-R	Labrador Retriever	Pass QC	OM
Golden5	Golden Retriever	Pass QC	UCL
B00E01Y-Z	Labrador Retriever	Pass QC	OM
DD0252	NA	Pass QC	UC
CCB050228	NA	Pass QC	UCL
CCB050228_URen	Labrador Retriever	Pass QC	OM
B00E02S-T	Labrador Retriever	Pass QC	OM
B00E02Y-Z	Labrador Retriever	Pass QC	OM
P21	Labrador Retriever	Pass QC	HSA
CCB040334	NA	Pass QC	UCL
CCB040334_URen	Labrador Retriever	Pass QC	OM
DD0005-1	NA	Pass QC	OM
DD0005	NA	Pass QC	OM
CCB030183_URen	Labrador Retriever	Pass QC	OM
CCB030183	NA	Pass QC	UCL
T-399	Greyhound	Pass QC	OSA
T-554	Labrador Retriever	Pass QC	OSA
CCB070280	Golden Retriever	Pass QC	BCL
DD0045	NA	Pass QC	OM
CCB030269_URen	Labrador Retriever	Pass QC	OM
CCB030269	NA	Pass QC	UCL
T-1192	Labrador Retriever	Pass QC	OSA
DD0390	NA	Pass QC	UC
T-1272	Labrador Retriever	Pass QC	OSA
B00E02O-P	Labrador Retriever	Pass QC	OM
B00E032-3	Labrador Retriever	Pass QC	OM
DD0086	NA	Pass QC	OM
DD0092	NA	Pass QC	OM
CCB030039_URen	Labrador Retriever	Pass QC	OM
CCB030039	NA	Pass QC	UCL
